【壹】TK待執行清單 20140115-shin.txt
     （備注：共 224部。「+ 」號，shin 於 2025年5月16日已移除）
 
 *****************************
 TK作業清單 20140115 for shin
  # 行首有 + 號者表示過去已經處理完成，Shin 不用再處理。
  # 行首有 S 號者表示交給 Shin  執行的新一波作業。共 422 經 1122 卷。
  ─────────────────────────────────────
  大正            高麗          卷
  經號---冊-頁    經號------冊  數 經名(卷數)【朝代 作譯者】
  ───────  ──────  ─ ────────────────────
S T1266--21-p0296 K1378-----37   1 大聖天歡喜雙身毘那夜迦法(1卷)【唐 不空譯】
S T1272--21-p0306 K1209-----34   4 金剛薩埵說頻那夜迦天成就儀軌經(4卷)【宋 法賢譯】
S T1276--21-p0325 K1352-----37   1 文殊師利菩薩根本大教王經金翅鳥王品(1卷)【唐 不空譯】
S T1277--21-p0329 K1361-----37   1 速疾立驗魔醯首羅天說阿尾奢法(1卷)【唐 不空譯】
S T1283--21-p0343 K1153-----33   2 佛說寶藏神大明曼拏羅儀軌經(2卷)【宋 法天譯】
S T1284--21-p0349 K1154-----33   2 佛說聖寶藏神儀軌經(2卷)【宋 法天譯】
S T1285--21-p0353 K1238(02)-34   1 佛說寶賢陀羅尼經(1卷)【宋 法賢譯】
S T1288--21-p0358 K1251-----34   3 佛說最上祕密那拏天經(3卷)【宋 法賢譯】
S T1299--21-p0387 K1367-----37   2 文殊師利菩薩及諸仙所說吉凶時日善惡宿曜經(2卷)【唐 不空譯】
S T1300--21-p0399 K0766-----19   2 摩登伽經(2卷)【吳 竺律炎支謙共譯】
S T1301--21-p0410 K0764-----19   1 舍頭諫太子二十八宿經(一名虎耳經)(1卷)【西晉 竺法護譯】
S T1303--21-p0421 K1180-----34   1 佛說聖曜母陀羅尼經(1卷)【宋 法天譯】
S T1312--21-p0463 K1218-----34   1 難[仁-二+爾]計濕[口*縛]囉天說支輪經(1卷)【宋 法賢譯】
S T1316--21-p0468 K0474(02)-13   1 佛說甘露經陀羅尼[口*兄](1卷)【】
S T1317--21-p0468 K0474(3)--13   1 甘露陀羅尼[口*兄](1卷)【唐 實叉難陀譯】
S T1323--21-p0489 K1300-----36   1 除一切疾病陀羅尼經(1卷)【唐 不空譯】
S T1324--21-p0490 K1301-----36   1 能淨一切眼疾病陀羅尼經(1卷)【唐 不空譯】
S T1326--21-p0491 K0438(02)-34   1 佛說[口*兄]時氣病經(1卷)【】
S T1327--21-p0491 K0438(06)-13   1 佛說[口*兄]齒經(1卷)【東晉 曇無蘭譯】
S T1328--21-p0491 K0438(07)-13   1 佛說[口*兄]目經(1卷)【】
S T1329--21-p0491 K0438(05)-13   1 佛說[口*兄]小兒經(1卷)【】
S T1330--21-p0491 K1216-----34   1 囉[口*縛]拏說救療小兒疾病經(1卷)【宋 法賢譯】
S T1331--21-p0495 K0174-----10  12 佛說灌頂經(12卷)【東晉 帛尸梨蜜多羅譯】
S T1332--21-p0536 K0433-----13   4 七佛八菩薩所說大陀羅尼神[口*兄]經(4卷)【失譯】
S T1333--21-p0561 K0346-----12   1 虛空藏菩薩問七佛陀羅尼[口*兄]經(1卷)【失譯】
S T1334--21-p0565 K0338-----12   1 如來方便善巧[口*兄]經(1卷)【隋 闍那崛多譯】
S T1335--21-p0568 K0434-----13   4 大吉義神[口*兄]經(4卷)【元魏 曇曜譯】
S T1336--21-p0580 K1051-----30  10 陀羅尼雜集(10卷)【失譯】
S T1337--21-p0637 K0318-----11   1 種種雜[口*兄]經(1卷)【北周 闍那崛多譯】
S T1339--21-p0641 K0397-----13   4 大方等陀羅尼經(4卷)【北涼 法眾譯】
S T1340--21-p0661 K0388-----12  20 大法炬陀羅尼經(20卷)【隋 闍那崛多譯】
S T1341--21-p0755 K0389-----12  20 大威德陀羅尼經(20卷)【隋 闍那崛多譯】
S T1342--21-p0839 K0334-----12   1 佛說無崖際總持法門經(1卷)【西秦 聖堅譯】
S T1343--21-p0843 K0335-----12   1 尊勝菩薩所問一切諸法入無量門陀羅尼經(1卷)【北齊 萬天懿譯】
S T1344--21-p0850 K0336-----12   1 金剛上味陀羅尼經(1卷)【元魏 佛陀扇多譯】
S T1345--21-p0854 K0337-----12   1 金剛場陀羅尼經(1卷)【隋 闍那崛多譯】
S T1346--21-p0858 K0475-----13   1 諸佛集會陀羅尼經(1卷)【唐 提雲般若等譯】
S T1347--21-p0860 K1114-----33   1 息除中夭陀羅尼經(1卷)【宋 施護譯】
S T1348--21-p0860 K0301-----11   1 佛說十二佛名神[口*兄]校量功德除障滅罪經(1卷)【隋 闍那崛多譯】
S T1349--21-p0863 K0302-----11   1 佛說稱讚如來功德神[口*兄]經(1卷)【唐 義淨譯】
S T1350--21-p0864 K1242-----34   1 佛說一切如來名號陀羅尼經(1卷)【宋 法賢譯】
S T1351--21-p0864 K0347-----12   1 佛說持句神[口*兄]經(1卷)【吳 支謙譯】
S T1352--21-p0865 K0348-----12   1 佛說陀[阿-可+(嶙-山)]尼[金*本]經(1卷)【東晉 曇無蘭譯】
S T1354--21-p0868 K0350-----12   1 東方最勝燈王如來經(1卷)【隋 闍那崛多等譯】
S T1355--21-p0872 K1108-----33   1 佛說聖最上燈明如來陀羅尼經(1卷)【宋 施護譯】
S T1356--21-p0874 K0344-----12   1 佛說華積陀羅尼神[口*兄]經(1卷)【吳 支謙譯】
S T1357--21-p0875 K0340-----12   1 佛說師子奮迅菩薩所問經(1卷)【失譯】
S T1358--21-p0876 K0339-----12   1 佛說花聚陀羅尼[口*兄]經(1卷)【失譯】
S T1359--21-p0877 K1159-----34   1 佛說花積樓閣陀羅尼經(1卷)【宋 施護譯】
S T1360--21-p0878 K0447-----13   1 六門陀羅尼經(1卷)【唐 玄奘譯】
S T1362--21-p0881 K0459-----13   1 佛說善夜經(1卷)【唐 義淨譯】
S T1363--21-p0882 K0332-----11   1 勝幢臂印陀羅尼經(1卷)【唐 玄奘譯】
S T1364--21-p0883 K0333-----11   1 妙臂印幢陀羅尼經(1卷)【唐 實叉難陀譯】
S T1365--21-p0883 K0445-----13   1 八名普密陀羅尼經(1卷)【唐 玄奘譯】
S T1366--21-p0884 K1237-----34   1 佛說祕密八名陀羅尼經(1卷)【宋 法賢譯】
S T1367--21-p0884 K0441-----13   1 佛說大普賢陀羅尼經(1卷)【失譯】
S T1368--21-p0885 K0450-----13   1 佛說大七寶陀羅尼經(1卷)【失譯】
S T1369a-21-p0885 K0477-----13   1 百千印陀羅尼經(1卷)【唐 實叉難陀譯】
S T1370--21-p0886 K1167-----34   1 佛說持明藏八大總持王經(1卷)【宋 施護譯】
S T1371--21-p0888 K1164-----34   1 佛說聖大總持王經(1卷)【宋 施護譯】
S T1372--21-p0889 K1198-----34   1 增慧陀羅尼經(1卷)【宋 施護譯】
S T1373--21-p0889 K1457-----40   1 佛說施一切無畏陀羅尼經(1卷)【宋 施護等譯】
S T1374--21-p0890 K0455-----13   1 佛說一切功德莊嚴王經(1卷)【唐 義淨譯】
S T1375--21-p0894 K0458-----13   1 佛說莊嚴王陀羅尼[口*兄]經(1卷)【唐 義淨譯】
S T1376--21-p0895 K1158-----34   2 佛說聖莊嚴陀羅尼經(2卷)【宋 施護譯】
S T1377--21-p0898 K1439-----40   1 佛說寶帶陀羅尼經(1卷)【宋 施護譯】
S T1378a-21-p0901 K0439-----13   1 佛說玄師[颱-台+(犮-乂+又)]陀所說神[口*兄]經(1卷)【東晉 曇無蘭譯】
S T1379--21-p0902 K1233-----34   1 佛說大愛陀羅尼經(1卷)【宋 法賢譯】
S T1380--21-p0902 K1246-----34   1 佛說善樂長者經(1卷)【宋 法賢譯】
S T1381--21-p0903 K1238(01)-34   1 佛說大吉祥陀羅尼經(1卷)【宋 法賢譯】
S T1382--21-p0904 K1230(03)-34   1 佛說宿命智陀羅尼(1卷)【宋 法賢譯】
S T1383--21-p0904 K1224(06)-34   1 佛說宿命智陀羅尼經(1卷)【宋 法賢譯】
S T1384--21-p0904 K1224(05)-34   1 佛說[金*本]蘭那賒[口*縛]哩大陀羅尼經(1卷)【宋 法賢譯】
S T1385--21-p0905 K1224(01)-34   1 佛說俱枳羅陀羅尼經(1卷)【宋 法賢譯】
S T1386--21-p0905 K1224(03)-34   1 佛說妙色陀羅尼經(1卷)【宋 法賢譯】
S T1387--21-p0906 K1224(04)-34   1 佛說栴檀香身陀羅尼經(1卷)【宋 法賢譯】
S T1388--21-p0906 K1232-----34   1 佛說無畏陀羅尼經(1卷)【宋 法賢譯】
S T1389--21-p0907 K1230(02)-34   1 佛說無量壽大智陀羅尼(1卷)【宋 法賢譯】
S T1390--21-p0907 K1224(11)-34   1 佛說洛叉陀羅尼經(1卷)【宋 法賢譯】
S T1391--21-p0908 K0438(03)-13   1 佛說檀特羅麻油述經(1卷)【東晉 曇無蘭譯】
S T1392--21-p0908 K1104-----33   1 大寒林聖難拏陀羅尼經(1卷)【宋 法天譯】
S T1393--21-p0910 K0438(01)-13   1 佛說摩尼羅亶經(1卷)【東晉 曇無蘭譯】
S T1394--21-p0911 K0437-----13   1 佛說安宅神[口*兄]經(1卷)【失譯】
S T1395--21-p0912 K0446-----13   1 拔濟苦難陀羅尼經(1卷)【唐 玄奘譯】
S T1396--21-p0913 K0456-----13   1 佛說拔除罪障[口*兄]王經(1卷)【唐 義淨譯】
S T1397--21-p0913 K0476-----13   1 智炬陀羅尼經(1卷)【唐 提雲般若等譯】
S T1398--21-p0914 K1161-----34   1 佛說智光滅一切業障陀羅尼經(1卷)【宋 施護譯】
S T1399--21-p0915 K1224(08)-34   1 佛說滅除五逆罪大陀羅尼經(1卷)【宋 法賢譯】
S T1400--21-p0916 K1224(02)-34   1 佛說消除一切災障寶髻陀羅尼經(1卷)【宋 法賢譯】
S T1401--21-p0917 K1144-----33   1 佛說大金剛香陀羅尼經(1卷)【宋 施護譯】
S T1402--21-p0918 K1109-----33   1 消除一切閃電障難隨求如意陀羅尼經(1卷)【宋 施護譯】
S T1403--21-p0919 K1149-----33   1 佛說如意摩尼陀羅尼經(1卷)【宋 施護譯】
S T1404--21-p0920 K1166-----34   1 佛說如意寶總持王經(1卷)【宋 施護譯】
S T1405--21-p0921 K1241-----34   1 佛說息除賊難陀羅尼經(1卷)【宋 法賢譯】
S T1406--21-p0922 K0438(04)-13   1 佛說辟除賊害[口*兄]經(1卷)【】
S T1407--21-p0922 K1224(12)-34   1 佛說辟除諸惡陀羅尼經(1卷)【宋 法賢譯】
S T1408--21-p0922 K1169-----34   1 佛說最上意陀羅尼經(1卷)【宋 施護譯】
S T1409--21-p0924 K1188-----34   1 佛說聖最勝陀羅尼經(1卷)【宋 施護譯】
S T1410--21-p0925 K1162-----34   1 佛說勝幡瓔珞陀羅尼經(1卷)【宋 施護譯】
S T1411--21-p0926 K1143-----33   1 佛說蓮華眼陀羅尼經(1卷)【宋 施護譯】
S T1412--21-p0926 K1142-----33   1 佛說寶生陀羅尼經(1卷)【宋 施護譯】
S T1413--21-p0927 K1165-----34   1 佛說尊勝大明王經(1卷)【宋 施護譯】
S T1414--21-p0928 K1440-----40   1 佛說金身陀羅尼經(1卷)【宋 施護譯】
S T1415--21-p0928 K1150-----33   1 大金剛妙高山樓閣陀羅尼(1卷)【宋 施護譯】
S T1418--21-p0933 K1146-----33   1 佛說一切如來安像三昧儀軌經(1卷)【宋 施護譯】

*************************************************************

